TOF	d space	q space	yint	ycal	bg	delta	err
11134.000000	1.107734e+00	5.672106e+00	7.813870e-01	7.829817e-01	2.161223e-02	-1.594680e-03	8.847000e-03
11138.000000	1.108132e+00	5.670068e+00	5.820750e-01	5.840976e-01	2.160798e-02	-2.022620e-03	7.717000e-03
11142.000000	1.108530e+00	5.668032e+00	4.277680e-01	4.271683e-01	2.160375e-02	5.996732e-04	6.699000e-03
11146.000000	1.108928e+00	5.665998e+00	3.021040e-01	3.088688e-01	2.159952e-02	-6.764789e-03	5.745000e-03
11150.000000	1.109326e+00	5.663965e+00	2.296850e-01	2.231496e-01	2.159531e-02	6.535356e-03	5.115000e-03
11154.000000	1.109724e+00	5.661933e+00	1.746900e-01	1.630524e-01	2.159110e-02	1.163761e-02	4.578000e-03
11158.000000	1.110122e+00	5.659903e+00	1.386440e-01	1.219766e-01	2.158691e-02	1.666741e-02	4.188000e-03
11162.000000	1.110521e+00	5.657874e+00	1.065190e-01	9.436693e-02	2.158273e-02	1.215207e-02	3.799000e-03
11166.000000	1.110919e+00	5.655847e+00	9.249600e-02	7.593439e-02	2.157855e-02	1.656161e-02	3.612000e-03
11170.000000	1.111317e+00	5.653821e+00	8.152900e-02	6.358037e-02	2.157439e-02	1.794863e-02	3.481000e-03
11174.000000	1.111715e+00	5.651797e+00	6.832000e-02	5.517914e-02	2.157023e-02	1.314086e-02	3.280000e-03
11178.000000	1.112113e+00	5.649774e+00	6.325100e-02	4.932829e-02	2.156609e-02	1.392271e-02	3.199000e-03
11182.000000	1.112511e+00	5.647752e+00	5.867200e-02	4.512746e-02	2.156195e-02	1.354454e-02	3.146000e-03
11186.000000	1.112909e+00	5.645732e+00	4.873700e-02	4.200752e-02	2.155783e-02	6.729476e-03	3.001000e-03
11190.000000	1.113307e+00	5.643714e+00	5.527700e-02	3.961036e-02	2.155371e-02	1.566664e-02	3.089000e-03
11194.000000	1.113705e+00	5.641697e+00	5.661300e-02	3.770941e-02	2.154960e-02	1.890359e-02	3.104000e-03
11198.000000	1.114103e+00	5.639681e+00	4.692900e-02	3.615941e-02	2.154551e-02	1.076959e-02	2.947000e-03
11202.000000	1.114501e+00	5.637667e+00	4.743000e-02	3.486540e-02	2.154142e-02	1.256460e-02	2.980000e-03
11206.000000	1.114899e+00	5.635654e+00	4.438000e-02	3.376386e-02	2.153734e-02	1.061614e-02	2.925000e-03
11210.000000	1.115297e+00	5.633642e+00	4.171700e-02	3.281124e-02	2.153328e-02	8.905765e-03	2.902000e-03
11214.000000	1.115695e+00	5.631632e+00	3.852800e-02	3.197684e-02	2.152922e-02	6.551158e-03	2.836000e-03
11218.000000	1.116093e+00	5.629624e+00	4.266500e-02	3.123850e-02	2.152517e-02	1.142650e-02	2.893000e-03
11222.000000	1.116491e+00	5.627617e+00	4.236200e-02	3.057973e-02	2.152114e-02	1.178227e-02	2.888000e-03
11226.000000	1.116889e+00	5.625611e+00	4.065000e-02	2.998798e-02	2.151711e-02	1.066202e-02	2.856000e-03
11230.000000	1.117287e+00	5.623607e+00	4.049400e-02	2.945348e-02	2.151309e-02	1.104052e-02	2.833000e-03
11234.000000	1.117685e+00	5.621604e+00	3.929200e-02	2.896842e-02	2.150908e-02	1.032358e-02	2.818000e-03
11238.000000	1.118084e+00	5.619603e+00	4.046700e-02	2.852645e-02	2.150508e-02	1.194055e-02	2.842000e-03
11242.000000	1.118482e+00	5.617603e+00	3.610700e-02	2.812233e-02	2.150109e-02	7.984667e-03	2.751000e-03
11246.000000	1.118880e+00	5.615604e+00	3.415200e-02	2.775168e-02	2.149711e-02	6.400318e-03	2.743000e-03
11250.000000	1.119278e+00	5.613607e+00	3.304200e-02	2.741077e-02	2.149314e-02	5.631227e-03	2.727000e-03
11254.000000	1.119676e+00	5.611612e+00	3.501300e-02	2.709642e-02	2.148918e-02	7.916583e-03	2.801000e-03
11258.000000	1.120074e+00	5.609617e+00	3.443000e-02	2.680586e-02	2.148523e-02	7.624136e-03	2.773000e-03
11262.000000	1.120472e+00	5.607624e+00	3.400200e-02	2.653672e-02	2.148129e-02	7.465276e-03	2.760000e-03
11266.000000	1.120870e+00	5.605633e+00	3.250100e-02	2.628690e-02	2.147736e-02	6.214095e-03	2.730000e-03
11270.000000	1.121268e+00	5.603643e+00	3.552000e-02	2.605457e-02	2.147344e-02	9.465429e-03	2.809000e-03
11274.000000	1.121666e+00	5.601654e+00	3.363900e-02	2.583810e-02	2.146953e-02	7.800897e-03	2.742000e-03
11278.000000	1.122064e+00	5.599667e+00	3.261000e-02	2.563607e-02	2.146563e-02	6.973933e-03	2.748000e-03
11282.000000	1.122462e+00	5.597681e+00	3.169500e-02	2.544719e-02	2.146174e-02	6.247814e-03	2.731000e-03
11286.000000	1.122860e+00	5.595697e+00	3.434300e-02	2.527032e-02	2.145785e-02	9.072676e-03	2.780000e-03
11290.000000	1.123258e+00	5.593714e+00	3.314100e-02	2.510447e-02	2.145398e-02	8.036534e-03	2.738000e-03
11294.000000	1.123656e+00	5.591732e+00	3.469300e-02	2.494870e-02	2.145012e-02	9.744300e-03	2.765000e-03
11298.000000	1.124054e+00	5.589752e+00	2.892700e-02	2.480221e-02	2.144626e-02	4.124791e-03	2.654000e-03
11302.000000	1.124452e+00	5.587774e+00	2.985300e-02	2.466425e-02	2.144242e-02	5.188746e-03	2.672000e-03
11306.000000	1.124850e+00	5.585796e+00	2.962900e-02	2.453417e-02	2.143858e-02	5.094828e-03	2.679000e-03
11310.000000	1.125249e+00	5.583820e+00	2.976400e-02	2.441136e-02	2.143476e-02	5.352639e-03	2.679000e-03
11314.000000	1.125647e+00	5.581846e+00	2.770100e-02	2.429527e-02	2.143094e-02	3.405725e-03	2.644000e-03
