XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       53.1720      52.0600      52.1020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
  41.9953           477.584       9.386
  42.0953           481.972       9.749
  42.1953           546.940      10.135
  42.2953           632.653      10.993
  42.3953           758.126      11.923
  42.4953           873.462      12.851
  42.5953           948.904      13.264
  42.6953           895.711      13.042
  42.7953           808.127      12.298
  42.8953           677.048      11.220
  42.9953           605.057      10.689
  43.0953           526.434       9.898
  43.1953           508.279       9.728
  43.2953           490.018       9.605
  43.3953           528.172       9.902
  43.4953           568.190      10.314
  43.5953           619.569      10.756
  43.6953           629.853      10.813
  43.7953           592.726      10.523
  43.8953           531.425       9.981
  43.9953           478.744       9.425
  44.0953           464.086       9.302
  44.1953           474.770       9.469
  44.2953           474.462       9.394
  44.3953           517.290       9.873
  44.4953           557.268      10.213
  44.5953           634.316      10.853
  44.6953           744.704      11.884
  44.7953           763.539      11.993
  44.8953           745.461      11.858
  44.9953           649.329      11.136
  45.0953           535.877      10.267
  45.1953           483.103       9.701
  45.2953           452.245       9.247
  45.3953           462.272       9.311
  45.4953           452.538       9.182
  45.5953           452.734       9.211
  45.6953           453.078       9.180
  45.7953           454.669       9.188
  45.8953           514.106       9.802
  45.9953           601.707      10.550
  46.0953           724.383      11.570
  46.1953           860.334      12.631
  46.2953           944.717      13.244
  46.3953           872.043      12.686
  46.4953           705.081      11.433
  46.5953           539.733       9.997
  46.6953           480.497       9.427
  46.7953           462.567       9.268
  46.8953           469.044       9.310
  46.9953           454.302       9.143
  47.0953           482.459       9.465
  47.1953           503.775       9.659
  47.2953           529.778       9.915
  47.3953           588.647      10.435
  47.4953           637.785      10.887
  47.5953           653.063      10.975
  47.6953           600.194      10.584
  47.7953           558.597      10.180
  47.8953           520.361       9.851
  47.9953           491.944       9.605
  48.0953           533.460       9.949
  48.1953           598.470      10.697
  48.2953           810.397      12.557
